"","modified","institutionCode","institutionID","CollectionCode","RightsHolder","License","DatasetID","DatasetName","type","language","AssociatedReferences","RecordedBY","BasisOfRecord","OrganismQuantityType","SamplingProtocol","sampleSizeValue","sampleSizeUnit","Habitat","country","stateProvince","verbatimLocality","geodeticDatum","continent","waterBody","GeoreferenceProtocol","georeferencedBy","georeferencedDate","georeferenceSources","georeferenceremarks","georeferenceVerificationStatus","IdentifiedBy","eventDate","year","month","day","CatalogNumber","OccurrenceID","EventID","FieldNumber","verbatimDepth","MinimumDepthInMeters","MaximumDepthInMeters","verbatimlocation","locality","locaionID","locationAccordingTo","locationRemarks","DecimalLatitude","DecimalLongitude","occurrenceStatus","scientificName","ScientificNameID","ScientificNameAuthorship","identificationQualifier","OrganismQuantity","taxonRank","kingdom","phylum","class","order","family","genus","subgenus","SpecificEpithet","InfraSpecificEpithet","taxonRemarks"
"1","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1959-12-02,"1959","12","02","1959_VII_1959-12-02_A_1","FRB_MS883_MacLellanSprague_1959_VII_1959-12-02_A_1","1959_VII_1959-12-02","1959-12-02VIIA",,3,54,"Saint John Harbour","Saint John Harbour","VII","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.24868,-66.05597,"present","Nemertea",152391,,"Unident. Species",2,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"2","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1961-10-24,"1961","10","24","1961_K.M._1961-10-24_C_1","FRB_MS883_MacLellanSprague_1961_K.M._1961-10-24_C_1","1961_K.M._1961-10-24","1961-10-24K.M.C","25",3,54,"Mouth of the Kennebecasis River","Saint John Harbour","K.M.","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.31109,-66.13152,"present","Nemertea",152391,,"Unident. Species",2,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"3","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1959-11-30,"1959","11","30","1959_VI_1959-11-30_B_1","FRB_MS883_MacLellanSprague_1959_VI_1959-11-30_B_1","1959_VI_1959-11-30","1959-11-30VIB",,3,54,"Saint John Harbour","Saint John Harbour","VI","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.21391,-66.03123,"present","Nemertea",152391,,"Unident. Species",4,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"4","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1959-12-04,"1959","12","04","1959_K.M._1959-12-04_B_1","FRB_MS883_MacLellanSprague_1959_K.M._1959-12-04_B_1","1959_K.M._1959-12-04","1959-12-04K.M.B","39",3,54,"Mouth of the Kennebecasis River","Saint John Harbour","K.M.","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.31109,-66.13152,"present","Nemertea",152391,,"Unident. Species",1,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"5","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1961-10-26,"1961","10","26","1961_VI_1961-10-26_C_1","FRB_MS883_MacLellanSprague_1961_VI_1961-10-26_C_1","1961_VI_1961-10-26","1961-10-26VIC","16",3,54,"Saint John Harbour","Saint John Harbour","VI","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.21391,-66.03123,"present","Nemertea",152391,,"Unident. Species",1,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"6","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1961-10-26,"1961","10","26","1961_VI_1961-10-26_B_1","FRB_MS883_MacLellanSprague_1961_VI_1961-10-26_B_1","1961_VI_1961-10-26","1961-10-26VIB","16",3,54,"Saint John Harbour","Saint John Harbour","VI","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.21391,-66.03123,"present","Nemertea",152391,,"Unident. Species",1,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"7","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1959-12-04,"1959","12","04","1959_K.M._1959-12-04_C_1","FRB_MS883_MacLellanSprague_1959_K.M._1959-12-04_C_1","1959_K.M._1959-12-04","1959-12-04K.M.C","38",3,54,"Mouth of the Kennebecasis River","Saint John Harbour","K.M.","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.31109,-66.13152,"present","Nemertea",152391,,"Unident. Species",6,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"8","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1959-11-30,"1959","11","30","1959_VI_1959-11-30_C_1","FRB_MS883_MacLellanSprague_1959_VI_1959-11-30_C_1","1959_VI_1959-11-30","1959-11-30VIC",,3,54,"Saint John Harbour","Saint John Harbour","VI","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.21391,-66.03123,"present","Nemertea",152391,,"Unident. Species",1,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"9","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1961-10-24,"1961","10","24","1961_284.8_1961-10-24_A_1","FRB_MS883_MacLellanSprague_1961_284.8_1961-10-24_A_1","1961_284.8_1961-10-24","1961-10-24284.8A","50",3,54,"Saint John River above the reversing falls","Saint John Harbour","284.8","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.28522,-66.12635,"present","Nemertea",152391,,"Unident. Species",1,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
"10","2016-02-24","Atlantic Biological Station","EDMO 4161","FRB Manuscript report series (biological) No.883","Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans","http://creativecommons.org/licenses/by/4.0/legalcode","FRB_MS883_MacLellanSprague","FRB: Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961","Event","En","MacLelland, D.C. and J.B. Sprague. 1966. Bottom fauna of Saint John Harbour and estuary as surveyed in 1959 and 1961. Fish. Res. Bd. Canada, St. Andrews Biological Station. MS Rept. 883, 24 p.","MacLelland, D.C. and J.B. Sprague","HumanObservation","individuals","Vessel held on station and benthic sample collected using a van Veen sampler (nominal sampling area of 0.1 sq. metres)","0.1","square metre","benthic","Canada","New Brunswick","Saint John Harbour and estuary","WGS84","North America","Atlantic Ocean","OBIS Canada Georeference Guidelines","Robert Branton (OBIS Canada)","2016-02-18","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table","verified by OBIS Canada data management team","FRB (Delphine C. Maclellan)",1959-11-30,"1959","11","30","1959_VIII_1959-11-30_A_1","FRB_MS883_MacLellanSprague_1959_VIII_1959-11-30_A_1","1959_VIII_1959-11-30","1959-11-30VIIIA",,3,54,"Saint John Harbour","Saint John Harbour","VIII","FRB report|GoogleEarth","Coordinates assigned using Google earth referencing map figure in publication and station location description described in publication table",45.23699,-66.06133,"absent","Nemertea",152391,,"Unident. Species",0,"phylum","Animalia","Nemertea",,,,,,,,"Unident. Species"
