"","spnumber","year","station","sample","date","depth","VerbatimLocation","longitude","latitude","Locality","country","stateProvince","WaterBody","count","shells","weight","group1","group2","group3","originalname","ScientificnameEdited","field1","Taxon_remarks","IdentificationQualifer","blank","AphiaID","Match.type","LSID","TSN","Qualitystatus","Taxon.status","ScientificName","Authority","AphiaID_accepted","ScientificName_accepted","Authority_accepted","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies","isMarine","isBrackish","isFresh","isTerrestrial"
"1","1","1959","VII","A",1959-12-02,NA,"Saint John Harbour",-66.05597,45.24868,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",2,0,0,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","1961","K.M.","C",1961-10-24,"25","Mouth of the Kennebecasis River",-66.13152,45.31109,"Saint John Harbour","Canada","New Brunswick","Saint John River",2,0,88.3,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","1959","VI","B",1959-11-30,NA,"Saint John Harbour",-66.03123,45.21391,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",4,0,95.6,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","1959","K.M.","B",1959-12-04,"39","Mouth of the Kennebecasis River",-66.13152,45.31109,"Saint John Harbour","Canada","New Brunswick","Saint John River",1,0,9.5,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","1961","VI","C",1961-10-26,"16","Saint John Harbour",-66.03123,45.21391,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",1,0,68.8,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","1961","VI","B",1961-10-26,"16","Saint John Harbour",-66.03123,45.21391,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",1,0,35.7,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","1959","K.M.","C",1959-12-04,"38","Mouth of the Kennebecasis River",-66.13152,45.31109,"Saint John Harbour","Canada","New Brunswick","Saint John River",6,0,506.8,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","1959","VI","C",1959-11-30,NA,"Saint John Harbour",-66.03123,45.21391,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",1,0,91,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","1961","284.8","A",1961-10-24,"50","Saint John River above the reversing falls",-66.12635,45.28522,"Saint John Harbour","Canada","New Brunswick","Saint John River",1,0,2.9,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","1959","VIII","A",1959-11-30,NA,"Saint John Harbour",-66.06133,45.23699,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",0,0,29.2,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","1961","VII","B",1961-10-26,"12","Saint John Harbour",-66.05597,45.24868,"Saint John Harbour","Canada","New Brunswick","Bay of Fundy",1,0,27.7,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","1961","284.8","C",1961-10-24,"24","Saint John River above the reversing falls",-66.12635,45.28522,"Saint John Harbour","Canada","New Brunswick","Saint John River",1,0,1.9,"NEMERTEA",NA,NA,"Unident. Species","NEMERTEA",NA,"Unident. Species",NA,NA,152391,"exact","urn:lsid:marinespecies.org:taxname:152391",57411,"Checked by Taxonomic Editor","accepted","Nemertea",NA,152391,"Nemertea",NA,"Animalia","Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
