longitude,latitude,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-66.069625506136802,45.269682061856457,Station I,,,,,,-1,-1,-1,,
-66.059483707400929,45.262739900504727,Station II,,,,,,-1,-1,-1,,
-66.054892312795658,45.257933833250242,Station III,,,,,,-1,-1,-1,,
-66.04359640044575,45.242738034864999,Station IV,,,,,,-1,-1,-1,,
-66.033046206269759,45.228455825730947,Station V,,,,,,-1,-1,-1,,
-66.031230279148843,45.213908139189513,Station VI,,,,,,-1,-1,-1,,
-66.05596823130773,45.248679271822887,Station VII,,,,,,-1,-1,-1,,
-66.061333716209901,45.236991239595802,Station VIII,,,,,,-1,-1,-1,,
-66.04230493878417,45.264537887467867,Station IX,,,,,,-1,-1,-1,,
-66.04366249726354,45.254784712616491,Station X,,,,,,-1,-1,-1,,
-66.030986943185752,45.251343206688233,Station XI,,,,,,-1,-1,-1,,
-66.126347414457527,45.28521718258002,284.8,,,,,,-1,-1,-1,,
-66.13152467772349,45.311091225146349,Kenn. Mouth,,,,,,-1,-1,-1,,
-66.187052701359093,45.333198672895179,280.3,,,,,,-1,-1,-1,,
-66.094530495159376,45.267119714583437,287.7,,,,,,-1,-1,-1,,
